"time_index","temperature_K"
"2007-12-10",299.2188
"2007-12-11",299.0643
"2007-12-12",298.9901
"2007-12-13",299.2222
"2007-12-14",299.4382
"2007-12-15",299.4856
"2007-12-16",299.6794
"2007-12-17",300.2632
"2007-12-18",300.3517
"2007-12-19",300.0085
"2007-12-20",298.288
"2007-12-21",295.5349
"2007-12-22",294.5077
"2007-12-23",295.0946
"2007-12-24",295.7586
"2007-12-25",295.1524
"2007-12-26",293.2057
"2007-12-27",292.391
"2007-12-28",293.439
"2007-12-29",294.3146
"2007-12-30",295.0285
"2007-12-31",295.6685
"2008-01-01",296.289
"2008-01-02",295.7824
"2008-01-03",294.9144
"2008-01-04",296.0169
"2008-01-05",297.2024
"2008-01-06",297.7397
"2008-01-07",297.8279
"2008-01-08",298.4118
"2008-01-09",298.8229
"2008-01-10",298.7198
"2008-01-11",298.8001
"2008-01-12",298.6986
"2008-01-13",298.0555
"2008-01-14",297.2118
"2008-01-15",295.3903
"2008-01-16",294.4525
"2008-01-17",295.082
"2008-01-18",294.874
"2008-01-19",293.4308
"2008-01-20",292.883
"2008-01-21",294.8644
"2008-01-22",294.452
"2008-01-23",295.9173
"2008-01-24",296.8654
"2008-01-25",296.4852
"2008-01-26",297.0621
"2008-01-27",297.6869
"2008-01-28",297.8594
"2008-01-29",297.4726
"2008-01-30",296.8691
"2008-01-31",297.6172
"2008-02-01",298.3316
"2008-02-02",298.8085
"2008-02-03",299.1581
"2008-02-04",299.8262
"2008-02-05",300.0735
"2008-02-06",299.5272
"2008-02-07",299.241
"2008-02-08",299.1225
"2008-02-09",299.4479
"2008-02-10",298.8467
"2008-02-11",296.9335
"2008-02-12",296.772
"2008-02-13",294.5911
"2008-02-14",295.4699
"2008-02-15",296.029
"2008-02-16",296.6189
"2008-02-17",297.4656
"2008-02-18",298.6671
"2008-02-19",298.7076
"2008-02-20",298.6989
"2008-02-21",298.7988
"2008-02-22",298.8888
"2008-02-23",298.9696
"2008-02-24",298.5091
"2008-02-25",297.696
"2008-02-26",297.9537
"2008-02-27",298.3153
"2008-02-28",298.9409
"2008-02-29",299.389
"2008-03-01",299.5138
"2008-03-02",299.1723
"2008-03-03",297.5802
"2008-03-04",298.4186
"2008-03-05",299.9898
"2008-03-06",300.8221
"2008-03-07",301.4795
"2008-03-08",301.0532
"2008-03-09",301.2518
"2008-03-10",300.8497
"2008-03-11",300.381
"2008-03-12",299.4399
"2008-03-13",298.9953
"2008-03-14",300.0101
"2008-03-15",300.4587
"2008-03-16",301.5699
"2008-03-17",301.7254
"2008-03-18",300.6816
"2008-03-19",299.9616
"2008-03-20",301.0839
"2008-03-21",300.7328
"2008-03-22",301.0805
"2008-03-23",300.9703
"2008-03-24",300.8366
"2008-03-25",301.2467
"2008-03-26",300.7864
"2008-03-27",301.0006
"2008-03-28",301.9113
"2008-03-29",303.0837
"2008-03-30",303.0254
"2008-03-31",302.495
"2008-04-01",302.5679
"2008-04-02",302.4937
"2008-04-03",302.6527
"2008-04-04",302.994
"2008-04-05",303.9734
"2008-04-06",304.1612
"2008-04-07",304.0143
"2008-04-08",303.6689
"2008-04-09",303.2416
"2008-04-10",302.8514
"2008-04-11",303.0328
"2008-04-12",303.1313
"2008-04-13",303.0878
"2008-04-14",302.4032
"2008-04-15",301.0951
"2008-04-16",300.8897
"2008-04-17",301.212
"2008-04-18",301.5594
"2008-04-19",301.4469
"2008-04-20",301.8715
"2008-04-21",302.0993
"2008-04-22",302.3785
"2008-04-23",302.7882
"2008-04-24",302.2077
"2008-04-25",301.5523
"2008-04-26",300.9722
"2008-04-27",301.466
"2008-04-28",301.3522
"2008-04-29",302.1134
"2008-04-30",303.1291
"2008-05-01",303.6637
"2008-05-02",303.9634
"2008-05-03",304.1447
"2008-05-04",303.9828
"2008-05-05",303.5606
"2008-05-06",303.0054
"2008-05-07",303.0764
"2008-05-08",303.2595
"2008-05-09",303.9483
"2008-05-10",304.824
"2008-05-11",305.1062
"2008-05-12",304.5733
"2008-05-13",303.3714
"2008-05-14",303.1541
"2008-05-15",304.0874
"2008-05-16",304.0589
"2008-05-17",303.109
"2008-05-18",302.7927
"2008-05-19",302.8772
"2008-05-20",304.0914
"2008-05-21",304.6956
"2008-05-22",304.5016
"2008-05-23",303.436
"2008-05-24",302.1182
"2008-05-25",301.4959
"2008-05-26",301.5281
"2008-05-27",301.3768
"2008-05-28",301.6038
"2008-05-29",301.4314
"2008-05-30",301.5086
"2008-05-31",301.5163
"2008-06-01",301.7354
"2008-06-02",301.8512
"2008-06-03",302.6621
"2008-06-04",302.366
"2008-06-05",301.6
"2008-06-06",301.6639
"2008-06-07",301.9435
"2008-06-08",302.2615
"2008-06-09",302.5264
"2008-06-10",303.1506
"2008-06-11",303.4824
"2008-06-12",303.0532
"2008-06-13",302.6205
"2008-06-14",302.5769
"2008-06-15",302.9902
"2008-06-16",303.7033
"2008-06-17",304.1586
"2008-06-18",303.948
"2008-06-19",303.6385
"2008-06-20",303.4737
"2008-06-21",303.757
"2008-06-22",303.0635
"2008-06-23",301.9819
"2008-06-24",301.5244
"2008-06-25",301.3603
"2008-06-26",301.1762
"2008-06-27",301.4457
"2008-06-28",302.3961
"2008-06-29",302.5835
"2008-06-30",301.9597
"2008-07-01",301.5506
"2008-07-02",301.1422
"2008-07-03",301.3571
"2008-07-04",301.6537
"2008-07-05",301.7202
"2008-07-06",301.627
"2008-07-07",301.5407
"2008-07-08",301.4321
"2008-07-09",301.4279
"2008-07-10",301.5052
"2008-07-11",301.5565
"2008-07-12",301.3091
"2008-07-13",300.9204
"2008-07-14",300.7628
"2008-07-15",300.5369
"2008-07-16",300.4546
"2008-07-17",300.3451
"2008-07-18",300.1456
"2008-07-19",299.9721
"2008-07-20",300.0839
"2008-07-21",300.3309
"2008-07-22",300.2659
"2008-07-23",300.1243
"2008-07-24",300.2532
"2008-07-25",300.4486
"2008-07-26",300.5252
"2008-07-27",300.4993
"2008-07-28",300.4951
"2008-07-29",300.4827
"2008-07-30",300.5074
"2008-07-31",300.4741
"2008-08-01",300.7561
"2008-08-02",300.8714
"2008-08-03",300.8356
"2008-08-04",300.8451
"2008-08-05",301.4626
"2008-08-06",302.0276
"2008-08-07",301.5449
"2008-08-08",301.1127
"2008-08-09",301.2954
"2008-08-10",301.3205
"2008-08-11",301.1629
"2008-08-12",300.9979
"2008-08-13",300.9935
"2008-08-14",300.9251
"2008-08-15",300.7556
"2008-08-16",300.926
"2008-08-17",301.1573
"2008-08-18",301.2149
"2008-08-19",301.24
"2008-08-20",300.9542
"2008-08-21",300.7795
"2008-08-22",300.746
"2008-08-23",300.7819
"2008-08-24",300.7498
"2008-08-25",300.5609
"2008-08-26",300.3802
"2008-08-27",300.3866
"2008-08-28",300.6085
"2008-08-29",300.7419
"2008-08-30",300.9408
"2008-08-31",301.1757
"2008-09-01",301.1302
"2008-09-02",301.0966
"2008-09-03",301.2295
"2008-09-04",301.0043
"2008-09-05",300.9547
"2008-09-06",301.0048
"2008-09-07",301.0001
"2008-09-08",300.6814
"2008-09-09",300.8401
"2008-09-10",301.3106
"2008-09-11",301.3716
"2008-09-12",301.2344
"2008-09-13",301.3455
"2008-09-14",301.7648
"2008-09-15",302.3712
"2008-09-16",302.5034
"2008-09-17",302.4745
"2008-09-18",302.4969
"2008-09-19",302.3443
"2008-09-20",301.7946
"2008-09-21",300.6518
"2008-09-22",300.5991
"2008-09-23",301.1956
"2008-09-24",301.7563
"2008-09-25",301.7969
"2008-09-26",301.3976
"2008-09-27",301.7076
"2008-09-28",301.8275
"2008-09-29",301.842
"2008-09-30",301.1993
"2008-10-01",300.8127
"2008-10-02",301.9708
"2008-10-03",302.6359
"2008-10-04",302.7054
"2008-10-05",302.0025
"2008-10-06",301.0004
"2008-10-07",301.2496
"2008-10-08",302.7164
"2008-10-09",303.0412
"2008-10-10",302.2422
"2008-10-11",300.3326
"2008-10-12",300.9741
"2008-10-13",302.5081
"2008-10-14",302.8885
"2008-10-15",303.1032
"2008-10-16",303.5029
"2008-10-17",303.1314
"2008-10-18",301.7244
"2008-10-19",299.7264
"2008-10-20",299.8067
"2008-10-21",300.4697
"2008-10-22",301.6191
"2008-10-23",301.727
"2008-10-24",301.8285
