time_index,temperature_K
2007-10-30,303.3427
2007-10-31,303.2009
2007-11-01,303.5656
2007-11-02,303.3723
2007-11-03,303.5051
2007-11-04,302.7024
2007-11-05,301.9794
2007-11-06,301.6961
2007-11-07,301.1495
2007-11-08,300.9181
2007-11-09,300.9763
2007-11-10,300.9188
2007-11-11,300.8432
2007-11-12,300.5272
2007-11-13,299.9336
2007-11-14,299.6889
2007-11-15,299.6862
2007-11-16,299.9956
2007-11-17,300.5688
2007-11-18,300.4142
2007-11-19,300.0221
2007-11-20,299.9677
2007-11-21,299.9014
2007-11-22,300.3238
2007-11-23,300.6488
2007-11-24,300.8513
2007-11-25,300.9225
2007-11-26,300.9929
2007-11-27,301.0626
2007-11-28,301.0511
2007-11-29,300.6117
2007-11-30,301.113
2007-12-01,301.6963
2007-12-02,302.1584
2007-12-03,301.8013
2007-12-04,302.0954
2007-12-05,302.1086
2007-12-06,302.299
2007-12-07,301.8773
2007-12-08,301.587
2007-12-09,301.8497
2007-12-10,302.1
2007-12-11,302.0107
2007-12-12,301.5416
2007-12-13,301.2757
2007-12-14,301.0576
2007-12-15,300.8989
2007-12-16,300.9651
2007-12-17,301.6635
2007-12-18,301.01
2007-12-19,301.0825
2007-12-20,300.9375
2007-12-21,301.7541
2007-12-22,301.6886
2007-12-23,300.9993
2007-12-24,300.6317
2007-12-25,300.7016
2007-12-26,300.625
2007-12-27,301.1306
2007-12-28,301.2209
2007-12-29,300.9262
2007-12-30,299.8599
2007-12-31,299.2546
2008-01-01,298.5352
2008-01-02,298.2343
2008-01-03,297.6823
2008-01-04,297.9016
2008-01-05,298.4748
2008-01-06,298.9974
2008-01-07,298.945
2008-01-08,297.5038
2008-01-09,296.1792
2008-01-10,296.683
2008-01-11,297.9678
2008-01-12,298.5509
2008-01-13,298.7791
2008-01-14,299.1061
2008-01-15,299.5637
2008-01-16,299.6473
2008-01-17,299.419
2008-01-18,299.2226
2008-01-19,299.3317
2008-01-20,298.8104
2008-01-21,299.3515
2008-01-22,300.3695
2008-01-23,300.9202
2008-01-24,299.8006
2008-01-25,296.9835
2008-01-26,296.2149
2008-01-27,296.47
2008-01-28,297.2193
2008-01-29,297.7773
2008-01-30,298.3593
2008-01-31,298.8166
2008-02-01,299.1838
2008-02-02,298.4613
2008-02-03,297.0895
2008-02-04,297.8551
2008-02-05,296.7155
2008-02-06,296.6287
2008-02-07,296.5407
2008-02-08,297.3074
2008-02-09,297.5513
2008-02-10,297.9197
2008-02-11,298.7752
2008-02-12,299.6869
2008-02-13,299.5305
2008-02-14,298.9258
2008-02-15,297.9298
2008-02-16,298.3679
2008-02-17,298.7474
2008-02-18,299.0049
2008-02-19,299.1001
2008-02-20,298.7599
2008-02-21,299.3996
2008-02-22,299.3929
2008-02-23,299.3245
2008-02-24,299.7992
2008-02-25,299.4812
2008-02-26,297.4605
2008-02-27,297.673
2008-02-28,298.3838
2008-02-29,298.6039
2008-03-01,298.8757
2008-03-02,298.5513
2008-03-03,297.8181
2008-03-04,297.6845
2008-03-05,297.9585
2008-03-06,299.0583
2008-03-07,299.58
2008-03-08,299.6518
2008-03-09,300.7865
2008-03-10,301.8421
2008-03-11,303.3495
2008-03-12,303.996
2008-03-13,303.1642
2008-03-14,302.2902
2008-03-15,300.9624
2008-03-16,301.6837
2008-03-17,302.442
2008-03-18,302.8744
2008-03-19,303.1476
2008-03-20,303.1619
2008-03-21,303.9195
2008-03-22,304.4746
2008-03-23,304.6376
2008-03-24,304.9781
2008-03-25,304.5163
2008-03-26,303.6157
2008-03-27,303.3974
2008-03-28,303.2706
2008-03-29,303.2967
2008-03-30,303.4743
2008-03-31,302.8213
2008-04-01,302.5679
2008-04-02,302.6509
2008-04-03,302.7318
2008-04-04,302.6024
2008-04-05,301.6925
2008-04-06,300.4103
2008-04-07,301.4242
2008-04-08,302.8191
2008-04-09,302.9999
2008-04-10,302.8968
2008-04-11,302.573
2008-04-12,303.3583
2008-04-13,304.0762
2008-04-14,304.6862
2008-04-15,305.0056
2008-04-16,304.7042
2008-04-17,304.5924
2008-04-18,303.8246
2008-04-19,304.1451
2008-04-20,304.9314
2008-04-21,305.7036
2008-04-22,306.2095
2008-04-23,305.5708
2008-04-24,304.2056
2008-04-25,304.1013
2008-04-26,304.3105
2008-04-27,304.846
2008-04-28,305.3948
2008-04-29,304.7528
2008-04-30,304.1106
2008-05-01,303.7491
2008-05-02,302.5438
2008-05-03,301.9585
2008-05-04,302.0625
2008-05-05,302.6852
2008-05-06,303.7622
2008-05-07,304.8029
2008-05-08,305.4499
2008-05-09,304.6505
2008-05-10,304.4481
2008-05-11,304.2702
2008-05-12,304.1894
2008-05-13,304.1925
2008-05-14,303.48
2008-05-15,303.3703
2008-05-16,303.1061
2008-05-17,303.3022
